"code","area","perimeter","contactWithRoad","widthContactWithRoad","numberOfNeighborhood","HausDist","DisHausDst","CodeAppar","AspectRatio"
"25267-newSection3ConsolidationDivision-43","542.5727135546002","94.40392520579661","true","49.19276952659405","4","NA","NA","NA","0.5857400014851366"
"25267-newSection5ConsolidationDivision-62","634.0701568189404","101.19466058252316","true","24.858929374686376","6","NA","NA","NA","0.635964904242074"
"25267-AA-4-Densifyed-0167","230.91817214188262","73.26310626858587","true","32.65557110572307","4","NA","NA","NA","0.3966239491500302"
"25267-AB-10-Densifyed-0150","324.257007541287","73.33574256735253","true","17.067265881348025","5","NA","NA","NA","0.9947545950781768"
"25267-newSection0ConsolidationDivision-27","790.22191382608","132.54695105819872","true","35.550853331482784","4","NA","NA","NA","0.4212900878210472"
"25267-newSection5ConsolidationDivision-20","663.1938479684128","103.06503380675254","true","26.92588412596153","5","NA","NA","NA","0.6836807804950595"
"25267-newSection6ConsolidationDivision-21","791.5407658717817","133.6898888781469","true","17.44395840850971","7","NA","NA","NA","0.28347266438097213"
"25267-AB-1-Densifyed-0155","257.0518089813414","66.4592601064191","true","14.298354265882532","5","NA","NA","NA","0.5043753477609442"
"25267-newSection2ConsolidationDivision-42","942.5337884770747","129.14641698692049","true","68.15366119526689","4","NA","NA","NA","0.5128588903694391"
"25267-newSection0ConsolidationDivision-83","651.771439995018","104.83613895371684","true","22.28096068926318","6","NA","NA","NA","0.5336889563291007"
"25267-newSection0ConsolidationDivision-15","671.6316367132271","106.79464545947954","true","22.28095528746362","6","NA","NA","NA","0.5222594380486585"
"25267-newSection3ConsolidationDivision-11","581.5188684912898","108.72686671385597","true","16.638712495563304","6","NA","NA","NA","0.34577387587688513"
"25267-AA-1-Densifyed-0022","210.40713259824122","58.85787254305627","true","18.996182478192612","3","NA","NA","NA","0.5752453429696541"
"25267-AB-2-Densifyed-0165","343.84983596977736","77.80555215162963","true","15.614521382557431","3","NA","NA","NA","0.47237181852998655"
"25267-newSection0ConsolidationDivision-53","671.6316366957361","106.79464545769406","true","22.280957717238774","6","NA","NA","NA","0.5222594380699787"
"25267-AB-2-Densifyed-0132","597.2245759516633","100.98991117262919","true","51.05982075966365","4","NA","NA","NA","0.5438161791397036"
"25267-newSection1ConsolidationDivision-87","441.92353315042584","92.07082042297121","true","38.96284974279761","3","NA","NA","NA","0.5434652049667841"
"25267-AA-1-Densifyed-0009","268.22053437070446","68.3598728973067","true","13.341883839657857","6","NA","NA","NA","0.48473563454401775"
"25267-newSection2ConsolidationDivision-36","539.0377950908727","92.98386390487562","true","48.482754598207045","3","NA","NA","NA","0.6711026652624797"
"25267-newSection0ConsolidationDivision-67","853.3146881538061","117.37885083820106","true","60.680170153107824","4","NA","NA","NA","0.6369423307670761"
"25267-AB-2-Densifyed-0150","423.2840142071884","86.50574685020982","true","17.44242354425627","6","NA","NA","NA","0.4561539810255612"
"25267-newSection3ConsolidationDivision-40","482.9191352822281","100.03009436805674","false","0.0","6","NA","NA","NA","1.229982375915663"
"25267-AA-5-Densifyed-0019","563.9499758411242","131.59683908591816","true","5.013449882075741","8","NA","NA","NA","0.414600786765721"
"25267-newSection1ConsolidationDivision-1","886.280032722344","124.03927448388244","true","64.01042555482552","4","NA","NA","NA","0.49035328431613423"
"25267-AA-2-Densifyed-0023","233.87090968253986","69.36946024423435","true","11.210295116685943","4","NA","NA","NA","0.3347344082318482"
"25267-AB-1-Densifyed-0174","330.37323743405886","74.22225735054126","true","23.92771464072713","4","NA","NA","NA","0.546563690706259"
"25267-AB-8-Densifyed-0170","309.66521732348343","94.68937974852264","true","5.478915262551158","5","NA","NA","NA","0.43292757055192543"
"25267-AB-3-Densifyed-0059","826.5697070320696","149.5986550619386","true","5.193765875790859","6","NA","NA","NA","0.483749320067859"
"25267-AA-2-Densifyed-0078","298.0532443040208","69.97528003687806","true","41.70547495563024","3","NA","NA","NA","0.5358279839474273"
"25267-AA-2-Densifyed-0208","247.40374007872623","74.99066022034965","true","17.02704644551839","4","NA","NA","NA","0.5507355747765146"
"25267-newSection6ConsolidationDivision-9","705.0046564515567","111.85281041426175","true","31.060301809024732","4","NA","NA","NA","0.6451109668820694"
"25267-newSection3ConsolidationDivision-44","518.2341477464665","92.18884453189395","true","18.103841197795074","5","NA","NA","NA","0.5613840174342635"
"25267-AB-1-Densifyed-0152","368.09668686021763","79.90175593970581","true","27.113768315142813","5","NA","NA","NA","0.5542738493588389"
"25267-newSection2ConsolidationDivision-23","560.4333149819511","95.54394446412498","true","22.706828634229918","5","NA","NA","NA","0.6076345336634881"
"25267-newSection2ConsolidationDivision-41","527.8741486052891","93.39284027662399","true","21.193118625675382","6","NA","NA","NA","0.6978479553933962"
"25267-newSection5ConsolidationDivision-57","634.0701568020895","101.1946605811186","true","24.858928304036866","6","NA","NA","NA","0.6359649042373267"
"25267-newSection6ConsolidationDivision-28","828.408049159767","140.14012175341833","true","16.88850591519868","7","NA","NA","NA","0.26399517612466383"
"25267-newSection1ConsolidationDivision-108","886.2800328145056","124.0392744897456","true","64.01036369323106","4","NA","NA","NA","0.4903532843140689"
"25267-AA-6-Densifyed-0019","273.13430524661413","66.78394969472704","true","17.337649168472982","4","NA","NA","NA","0.5834861910459277"
"25267-newSection1ConsolidationDivision-78","895.046869848482","121.53615821063607","true","62.28344366056935","3","NA","NA","NA","0.5749495172250416"
"25267-newSection1ConsolidationDivision-29","614.9518845326952","104.09151712957816","true","72.1611012100821","2","NA","NA","NA","0.5347294569520792"
"25267-newSection1ConsolidationDivision-81","876.2798246045624","121.60836766751882","true","61.02750574083772","4","NA","NA","NA","0.5192278397154493"
"25267-newSection5ConsolidationDivision-16","631.5601981370498","101.01368700306932","true","24.768444491416005","6","NA","NA","NA","0.634462029581934"
"25267-AB-2-Densifyed-0144","418.5360524695292","82.25728708533158","true","21.848858471569564","3","NA","NA","NA","0.5933644760185354"
"25267-AB-2-Densifyed-0059","615.7216937032608","99.98412108105619","true","29.463703540824373","3","NA","NA","NA","0.622120708900174"
"25267-newSection1ConsolidationDivision-19","562.4062724519756","115.82582481720686","true","69.50063357735482","2","NA","NA","NA","0.3891203093947257"
"25267-newSection5ConsolidationDivision-25","634.0701568095159","101.1946605820022","true","24.85892737863611","6","NA","NA","NA","0.8240897850683218"
"25267-newSection5ConsolidationDivision-51","612.762401421846","99.66895875167427","true","51.44459828301231","4","NA","NA","NA","0.6186025303327247"
"25267-newSection1ConsolidationDivision-69","545.2276812374627","95.33837455389713","true","68.70424332523996","2","NA","NA","NA","0.5542197339482693"
"25267-newSection0ConsolidationDivision-19","451.5751201099073","94.70777409124604","true","56.80820476279777","3","NA","NA","NA","0.41954559137714914"
"25267-newSection2ConsolidationDivision-29","529.57551718859","92.85684679791109","true","48.41919539955412","4","NA","NA","NA","0.6088510785854098"
"25267-newSection0ConsolidationDivision-22","778.3266828444498","167.64398660042988","true","79.83273364524479","6","NA","NA","NA","0.48010523302691366"
"25267-AA-1-Densifyed-0039","588.9684942961885","146.7010187050149","true","5.034514342185822","8","NA","NA","NA","0.32542889596976987"
"25267-newSection1ConsolidationDivision-51","900.1419519167735","123.30986589918538","true","63.64567954416161","4","NA","NA","NA","0.5307690367715555"
"25267-newSection1ConsolidationDivision-59","642.9247775604501","108.82849246334494","true","63.05581040775792","3","NA","NA","NA","0.5399978430391859"
