"code","area","perimeter","contactWithRoad","widthContactWithRoad","numberOfNeighborhood","HausDist","DisHausDst","CodeAppar","AspectRatio"
"77390-newSection0ConsolidationDivision-71","246.37953923876069","62.941845594106","true","16.628570644685738","6","0.4214425068402049","250.48540716423577","773900000D2358","0.6557458953694525"
"77390-newSection6ConsolidationDivision-31","276.8696499156611","72.15422030117237","true","37.975799103087546","3","0.6577528693909567","11.648797911349822","77390000AL0372","0.4039557523089862"
"77390-newSection0ConsolidationDivision-216","282.6347915521993","68.23488658084808","true","21.352309856756843","6","0.5921631052419619","19.1316197910693","773900000D2415","0.5734612424854721"
"77152-newSection5ConsolidationDivision-3","506.7435985043437","118.36611059258006","true","78.48223452574604","3","0.47852622964328284","54.33865205620515","77152000AR0995","0.37054170760440464"
"77285-BR-2-Densifyed-0068","457.2693777402818","94.20584747458618","true","50.13259305373877","2","0.5183766181253904","34.30193069060227","77285000BR0200","0.36924891565626167"
"77243-newSection0ConsolidationDivision-11","402.9145849321735","94.3566657431175","true","13.244573418266453","6","0.36207000492059194","82.20586352424976","77243000BH0404","0.2928299183540687"
"77285-newSection3ConsolidationDivision-4","601.8673716555771","116.17566785684636","true","31.75108377522014","3","0.6667046447140684","28.220667052040238","77285000BL0515","0.9974275765545172"
"77217-newSection8ConsolidationDivision-1","687.6333780732937","109.1032721799208","true","57.48626808123512","4","0.5472703585103023","32.44545369182009","77217000ZI0105","0.9506198022853944"
"77390-newSection0ConsolidationDivision-183","288.7691537771228","68.96170515702349","true","36.47169817101489","4","0.5415736436982593","19.288671430394217","773900000D2293","0.5795960729532951"
"77312-AK-1-Densifyed-0547","815.678923062813","114.52264266526502","true","89.72169608299768","2","0.9099029023162815","5.28632689076823","77312000AK0976","0.9918295010585528"
"77317-newSection2ConsolidationDivision-3","428.077760771829","96.80983419392494","true","51.444863205934","3","0.6324240382500512","14.914849816203045","77317000AB0686","0.2951111091425094"
"77243-newSection1ConsolidationDivision-1","368.6209016880292","83.07413644542211","true","65.10014412006618","2","0.3452137257447314","77.31789551429333","77243000AI0336","0.7744400126330164"
"77390-newSection4ConsolidationDivision-3","246.58075252094173","73.513761055725","true","8.049486477285704","8","0.5239783166451215","51.867847086761415","773900000D2386","0.9999291859195194"
"77152-newSection8ConsolidationDivision-6","912.6610693050822","123.42699999014022","true","63.70485910750008","4","0.5978804190331964","37.151612409213556","77152000AN0485","0.551789707535264"
"77389-newSection2ConsolidationDivision-23","606.1237834474202","98.7405040487932","true","52.31460260570712","3","0.5849542347780943","52.97555196564417","77389000AD0085","0.6415889120012872"
"77390-newSection3ConsolidationDivision-5","428.06575120693736","86.4555790625676","true","73.04994731768019","2","0.4002304298718681","152.27706083481084","77390000AD0126","0.48233072406641414"
"77243-newSection3ConsolidationDivision-0","625.428145502517","105.34695698193823","true","85.54829364329986","2","0.5840887602861768","30.902562920779328","77243000AH0394","0.5693706267417059"
"77222-newSection0ConsolidationDivision-62","513.7715445789185","93.33274681362101","true","48.657174810662966","4","0.5067880979143811","51.26140571929813","77222000AI0303","0.5247131502508967"
"77285-newSection2ConsolidationDivision-4","430.4371822562763","91.56314592727396","true","21.908012552088827","5","0.6574956274107934","39.790108470568526","77285000BI0079","0.39656087280553404"
"77285-BR-2-Densifyed-0015","508.68433370321304","92.4379457030663","true","69.47289272636841","2","0.8174085236199744","8.645313708952989","77285000BR0202","0.7852692854112217"
"77152-newSection1ConsolidationDivision-1","505.9015349123094","104.02129513941011","true","93.29903217784877","2","0.7314762991958634","13.494734320353679","77152000AB0422","0.3172875646380285"
"77222-newSection1ConsolidationDivision-10","898.7021790940157","146.14232227167668","true","17.651460563534354","5","0.46017520008056423","122.35330918434887","77222000AK0482","0.26298512932875184"
"77390-newSection0ConsolidationDivision-267","455.24421072853147","87.75456335424077","true","45.57501674045109","4","0.10705210130700915","386.600157503769","773900000D2358","0.5227812284246498"
"77390-0D-1-Densifyed-0709","487.9201377660063","119.76421519549807","true","82.73388199370834","2","0.9890643947173496","0.5584131449925516","773900000D2443","0.498293391456765"
"77389-newSection0ConsolidationDivision-0","459.59541090141926","107.23261327769323","true","40.40667129764029","4","0.7373055367821596","15.011183833526001","77389000AI0153","0.30012057040449835"
"77243-AN-1-Densifyed-0243","498.8293527092334","86.55627796575313","true","33.28745693590697","3","0.871578290790405","5.5587931317657455","77243000AN0362","0.7340747802854558"
