"code","area","perimeter","contactWithRoad","widthContactWithRoad","numberOfNeighborhood","Geometry","HausDist","DisHausDst","CodeAppar"
"77152-AR-0748","232.77770000250794","60.75109665621959","false","0.0","7","POLYGON ((673117.27 6824615.56, 673128.97 6824622.75, 673137.85 6824608.57, 673133.57 6824605.71, 673133.7 6824605.51, 673128.08 6824601.79, 673125.71 6824602.27, 673117.27 6824615.56))","0.0","0.0",""
"77152-AX-0908","227.33135000599614","66.14786073589957","true","15.348056665927102","6","POLYGON ((671996.77 6823833.72, 671999.11 6823836.12, 671999.46 6823835.77, 672003.43 6823839.83, 672006.93 6823836.41, 672008.1 6823837.61, 672016.02 6823829.38, 672020.17 6823825.07, 672019.89 6823824.57, 672017.39 6823820.02, 672011.07 6823820.67, 672007.9 6823820.99, 672007.68 6823823.09, 672005.57 6823825.14, 671996.77 6823833.72))","0.0","0.0",""
"77390-0D-2362","440.83914999795184","88.82573675522279","true","15.419287356284842","4","POLYGON ((674535.73 6854252.23, 674535.59 6854246.96, 674535.4 6854237.24, 674517.38 6854237.4, 674514.59 6854237.42, 674511.68 6854237.44, 674506.43 6854237.49, 674505.89 6854252.5, 674535.73 6854252.23))","0.0","0.0",""
"77114-AD-0015","506.9996999992718","91.21817496442304","true","22.40984256921348","4","POLYGON ((674598.94 6847521.64, 674601.77 6847522.18, 674605.45 6847523.01, 674607.56 6847523.57, 674611.76 6847524.83, 674614.46 6847525.77, 674617.6 6847526.97, 674619.97 6847527.96, 674620.42 6847526.92, 674620.28 6847526.86, 674621.11 6847524.04, 674622.24 6847520.18, 674623.52 6847515.86, 674623.67 6847515.31, 674626.62 6847505.27, 674602.9 6847500.74, 674598.94 6847521.64))","0.0","0.0",""
"77390-0D-2352","463.47639999753983","87.16516968016853","true","20.021849367218074","4","POLYGON ((674377.98 6854184.18, 674377.95 6854181.11, 674377.95 6854181.02, 674377.76 6854159.17, 674359.33 6854158.83, 674359.55 6854184.12, 674376.82 6854184.18, 674377.98 6854184.18))","0.0","0.0",""
"77390-0D-2256","234.4339499976057","71.53280446885232","true","11.82172407705465","4","POLYGON ((674373.82 6854438.24, 674373.3 6854443.21, 674372.75 6854448.61, 674371.39 6854461.71, 674380.5 6854462.68, 674381.61 6854451.92, 674382.42 6854444.16, 674383.24 6854436.2, 674377.21 6854435.58, 674376.9 6854438.56, 674373.82 6854438.24))","0.0","0.0",""
"77114-0C-0015","53.63475000307348","29.594793361647994","true","8.859883636329487","2","POLYGON ((676361.91 6845691.26, 676368.87 6845696.07, 676372.38 6845690.72, 676369.23 6845688.6, 676365.36 6845686.01, 676361.91 6845691.26))","0.0","0.0",""
"77114-AE-0195","524.8574000006286","94.97670440821867","true","17.88580269717182","5","POLYGON ((675374.47 6847717.59, 675375.97 6847726.25, 675377.32 6847734.09, 675379.57 6847747.15, 675382.36 6847746.67, 675396.81 6847744.17, 675394.43 6847730.33, 675394.18 6847728.92, 675393.41 6847724.47, 675392.8 6847720.85, 675391.7 6847714.61, 675374.47 6847717.59))","0.0","0.0",""
"77114-AH-0418","505.38180000470425","90.89970371918966","true","55.63177134435731","3","POLYGON ((675307.71 6847352.7, 675308.38 6847334.78, 675308.65 6847327.8, 675308.71 6847326.21, 675298.89 6847322.43, 675292.77 6847320.08, 675289.71 6847321.51, 675289.95 6847324.27, 675290.44 6847336.4, 675290.54 6847337.89, 675291.37 6847347.17, 675295.32 6847351.35, 675297.7 6847351.61, 675307.71 6847352.7))","0.0","0.0",""
"77285-BE-0153","122.05899999913258","51.776738209376745","false","0.0","8","POLYGON ((672321.96 6827524.67, 672316.76 6827522.93, 672316.05 6827522.72, 672306.15 6827517.45, 672300.78 6827521.89, 672310.99 6827527.29, 672314.36 6827528.64, 672315.8 6827529.48, 672317.14 6827530.05, 672319.17 6827530.93, 672321.96 6827524.67))","0.0","0.0",""
"77390-0D-2274","473.4403999978564","86.18165796470367","true","42.512680411130525","3","POLYGON ((674303.9 6854211.83, 674303.85 6854206.26, 674303.76 6854195.39, 674303.75 6854194.11, 674291.97 6854194.21, 674287.13 6854194.26, 674283.39 6854194.29, 674277.41 6854194.34, 674277.87 6854208.31, 674283.94 6854213.67, 674303.9 6854211.83))","0.0","0.0",""
"77337-AC-0261","173.93440000273583","55.953296008367616","true","7.8978274565819095","4","POLYGON ((672875.6 6861290.99, 672874.45 6861290.51, 672873.63 6861292.46, 672874.31 6861293.11, 672871.21 6861296.35, 672877.22 6861302.08, 672883.6 6861308.17, 672884.65 6861307.15, 672887.24 6861304.28, 672889.52 6861301.21, 672891.36 6861298.16, 672884.34 6861294.6, 672879.06 6861292.42, 672875.6 6861290.99))","0.0","0.0",""
"77390-0D-2310","491.39785000854323","90.78109439633774","true","17.60196229676146","5","POLYGON ((674435.33 6854251.25, 674409 6854250.85, 674405.48 6854262, 674405.51 6854267.99, 674424.38 6854268.29, 674430.07 6854268.37, 674435.07 6854268.45, 674435.33 6854251.25))","0.0","0.0",""
"77337-AC-0256","146.00934999654243","57.11874603710358","true","8.394370426980679","4","POLYGON ((672854.92 6861314.78, 672851.88 6861317.96, 672851.04 6861317.16, 672849.09 6861319.21, 672849.73 6861319.82, 672852.7 6861322.67, 672856.52 6861326.31, 672865.37 6861334.77, 672867.35 6861328.89, 672868.18 6861327.43, 672860.93 6861320.51, 672854.92 6861314.78))","0.0","0.0",""
"77114-AC-0261","365.713899988091","114.71391691605984","false","0.0","6","POLYGON ((674994.89 6847045.56, 674992.27 6847050.44, 675042.3 6847060.22, 675043.71 6847052.9, 674995.85 6847043.78, 674994.89 6847045.56))","0.0","0.0",""
"77114-AE-0324","777.8086499864229","111.72557072189224","true","53.59006964950056","3","POLYGON ((675601.5 6847980.33, 675575.46 6847975.98, 675570.61 6848005.05, 675596.64 6848009.39, 675600.65 6847985.42, 675601.31 6847981.44, 675601.5 6847980.33))","0.0","0.0",""
"77285-BL-0502","129.65285000606008","83.3144700998101","false","0.0","9","POLYGON ((672369.18 6826376.02, 672368.15 6826375.43, 672367.05 6826375.86, 672365.27 6826379.03, 672381.77 6826388.55, 672373.76 6826402.81, 672374.23 6826403.05, 672375.99 6826399.92, 672378.07 6826398.93, 672386.15 6826384.56, 672369.18 6826376.02))","0.0","0.0",""
"77114-AD-0205","2284.0803999963277","221.34743549248864","false","0.0","8","POLYGON ((674727.44 6847366.32, 674773.28 6847398.32, 674781.18 6847387.34, 674786.99 6847379.25, 674781.57 6847371.64, 674778.59 6847367.45, 674754.85 6847343.23, 674728.65 6847316.36, 674726.13 6847319.16, 674728.9 6847354.59, 674728.33 6847354.63, 674725.02 6847354.88, 674725.05 6847356.02, 674724.08 6847361.27, 674725.31 6847362.95, 674726.25 6847364.68, 674727.65 6847366.04, 674727.44 6847366.32))","0.0","0.0",""
"77152-AZ-0090","328.2813499949675","72.69411681791489","false","0.0","7","POLYGON ((672149.34 6823141.04, 672143.72 6823156.88, 672145.35 6823157.39, 672146.29 6823157.68, 672162.58 6823162.72, 672167.82 6823146.76, 672149.34 6823141.04))","0.0","0.0",""
"77337-AC-0298","101.2713999997849","47.52854880760054","true","11.41417309753372","4","POLYGON ((672866.1 6861283.92, 672867.83 6861279.72, 672870.57 6861280.86, 672872.29 6861276.71, 672864.62 6861273.54, 672857.79 6861270.7, 672854.58 6861272.93, 672860.59 6861278.67, 672861.95 6861279.98, 672866.1 6861283.92))","0.0","0.0",""
