roadType,totalLength
Route empierrée- Width:4.0m,79.00531468844744
Route à 1 chaussée- Width:5.5m,241.34922075551916
Route empierrée- Width:nullm,804.5825844673168
Route à 1 chaussée- Width:3.0m,543.959361299036
Route à 1 chaussée- Width:4.0m,78.131765863387
Route empierrée- Width:3.0m,9.52942810447906
